X	Graphic Profile 1
228.847395736	263.513
229.846729342	263.533
230.846062948	263.5623
231.845396554	263.6308
232.84473016	263.7308
233.844063765	263.8233
234.843397372	263.9214
235.842730978	263.9834
236.842064584	263.9957
237.84139819	263.9931
238.840731796	263.9961
239.840065399	264.0028
240.839399005	263.9973
241.838732611	264.0059
242.838066216	264.0151
243.837399823	264.0182
244.836733429	264.0198
245.836067035	264.0129
246.835400641	264.0342
247.834734248	264.0494
248.834067854	264.0523
249.833401459	264.0512
250.832735065	264.0549
251.83206867	264.0622
252.831402276	264.0708
253.830735882	264.0793
254.830069487	264.0813
255.829403094	264.0923
256.828736698	264.1023
257.828070304	264.0937
258.82740391	264.0961
259.826737519	264.0875
260.826071122	264.0789
261.825404728	264.0809
262.824738334	264.0897
263.824071939	264.0934
264.823405545	264.0938
265.822739151	264.0982
266.822072757	264.0877
267.821406363	264.0864
268.820739969	264.1149
269.820073576	264.116
270.819407182	264.1129
271.818740788	264.1198
272.818074393	264.1248
273.817408	264.1202
274.816741606	264.1196
275.81607521	264.1296
276.815408816	264.134
277.814742422	264.1287
278.814076026	264.1425
279.813409632	264.1449
280.81274324	264.1402
281.812076847	264.1166
282.811410451	264.1001
283.810744057	264.0562
284.810077662	264.0021
285.809411268	263.9698
286.808744874	263.9635
287.80807848	263.9921
288.807412086	264.0449
289.806745693	264.1082
290.806079298	264.189
291.805412904	264.2924
292.804746509	264.423
293.804080115	264.5938
294.803413722	264.783
295.802747328	264.9222
296.802080933	265.0454
297.801414539	265.2009
298.800748145	265.3508
299.800081748	265.4323
300.799415354	265.4754
301.798748962	265.4961
302.798082566	265.4803
303.797416172	265.4527
304.796749779	265.4489
305.796083385	265.4496
306.795416991	265.4568
307.794750596	265.4671
308.794084203	265.4752
309.793417809	265.4919
310.792751413	265.5232
311.792085019	265.5751
312.791418628	265.5936
313.790752234	265.6001
314.790085837	265.5918
315.789419443	265.5738
316.78875305	265.558
317.788086654	265.5168
318.787420262	265.4815
319.786753867	265.4785
320.786087474	265.4922
321.785421078	265.5004
322.784754683	265.4979
323.784088288	265.4951
324.783421896	265.4926
325.782755503	265.4879
326.782089107	265.4934
327.781422713	265.5152
328.780756319	265.553
329.780089926	265.5968
330.779423531	265.6386
331.778757137	265.6741
332.778090743	265.6993
333.77742435	265.7088
334.776757954	265.718
335.776091559	265.7306
336.775425167	265.7456
337.774758774	265.7632
338.774092375	265.7776
339.773425982	265.7849
340.77275959	265.7927
341.772093197	265.8071
342.771426799	265.826
343.770760406	265.8499
344.770094012	265.8687
345.769427618	265.8755
346.768761222	265.8739
347.768094831	265.8724
348.767428437	265.8695
349.766762042	265.8976
350.766095647	265.9766
351.765429253	266.0304
352.764762859	266.0171
353.764096465	265.9569
354.763430071	265.9105
355.762763677	265.88
356.762097283	265.8801
357.761430889	265.8781
358.760764493	265.8642
359.760098102	265.8713
360.759431706	265.8924
361.758765312	265.9115
362.758098916	265.9236
363.757432525	265.9319
364.756766129	265.9314
365.756099734	265.9318
366.75543334	265.9416
367.754766946	265.9638
368.754100553	265.9882
369.753434159	266.0101
370.752767765	266.0267
371.752101371	266.0416
372.751434977	266.0534
373.750768583	266.0668
374.750102187	266.091
375.749435793	266.1094
376.7487694	266.1273
377.748103003	266.1455
378.747436611	266.16
379.746770217	266.1723
380.746103824	266.1795
381.745437427	266.1835
382.744771034	266.1888
383.74410464	266.2026
384.743438245	266.2318
385.742771851	266.2544
386.742105457	266.2697
387.741439063	266.2895
388.740772668	266.3156
389.740106275	266.335
390.739439881	266.3552
391.738773487	266.3644
392.738107093	266.3627
393.737440699	266.3764
394.736774305	266.4051
395.736107911	266.4372
396.735441517	266.471
397.734775122	266.4895
398.734108728	266.5135
399.733442332	266.542
400.732775939	266.5742
401.732109546	266.6113
402.731443152	266.6484
403.730776756	266.6664
404.730110362	266.6823
405.729443968	266.703
406.728777574	266.7196
407.72811118	266.7336
408.727444786	266.7461
409.726778391	266.7668
410.726111997	266.7906
411.725445603	266.8192
412.724779209	266.8469
413.724112815	266.8721
414.723446421	266.8956
415.722780027	266.9181
416.722113633	266.946
417.721447239	266.971
418.720780845	266.9894
419.720114451	267.0133
420.719448056	267.0334
421.71878166	267.0464
422.718115266	267.0577
423.717448874	267.0812
424.716782478	267.1195
425.716116084	267.1518
426.71544969	267.1877
427.714783296	267.2204
428.714116903	267.2354
429.713450509	267.2628
430.712784114	267.2912
431.71211772	267.3103
432.711451327	267.3308
433.710784931	267.3634
434.710118537	267.3948
435.709452143	267.4217
436.708785749	267.4471
437.708119353	267.4795
438.707452961	267.5145
439.706786567	267.5428
440.706120174	267.558
441.705453777	267.5813
442.704787383	267.6219
443.704120989	267.6505
444.703454595	267.6766
445.7027882	267.7009
446.702121806	267.7138
447.701455412	267.7183
448.700789018	267.7348
449.700122624	267.7593
450.699456231	267.7838
451.698789837	267.82
452.698123443	267.8534
453.697457049	267.8731
454.696790655	267.9218
455.696124261	267.9729
456.695457867	268.022
457.694791471	268.0716
458.694125077	268.1091
459.693458681	268.1564
460.692792289	268.2203
461.692125895	268.2862
462.691459502	268.3434
463.690793106	268.3937
464.690126712	268.4731
465.689460317	268.5639
466.688793923	268.6358
467.68812753	268.7142
468.687461136	268.8008
469.686794741	268.8657
470.686128348	268.8784
471.685461953	268.902
472.684795559	268.9494
473.684129165	269.0052
474.683462771	269.0605
475.682796377	269.1217
476.682129983	269.1794
477.681463589	269.2399
478.680797194	269.2998
479.680130801	269.347
480.679464405	269.4014
481.678798009	269.4629
482.678131617	269.5218
483.677465224	269.5674
484.676798827	269.611
485.676132434	269.6714
486.67546604	269.7388
