CellCenters:0,CellCenters:1,CellCenters:2
0.45,0.5,256.9
0.45,0.5,256.85
0.45,0.5,256.79
0.45,0.5,256.74
0.45,0.5,256.7
0.45,0.5,256.65
0.45,0.5,256.6
0.45,0.5,256.54
0.45,0.5,256.49
0.45,0.5,256.45
0.45,0.5,256.4
0.45,0.5,256.35
0.45,0.5,256.29
0.45,0.5,256.24
0.45,0.5,256.2
0.45,0.5,256.15
0.45,0.5,256.1
0.45,0.5,256.04
0.45,0.5,255.87
0.45,0.5,255.32
0.45,0.5,254.27
0.45,0.5,252.72
0.45,0.5,250.67
0.45,0.5,248.12
0.45,0.5,245.07
0.45,0.5,241.52
0.55,0.5,258.49
0.55,0.5,258.45
0.55,0.5,258.4
0.55,0.5,258.35
0.55,0.5,258.29
0.55,0.5,258.24
0.55,0.5,258.2
0.55,0.5,258.15
0.55,0.5,258.1
0.55,0.5,258.04
0.65,0.5,258.49
0.65,0.5,258.45
0.65,0.5,258.4
0.65,0.5,258.35
0.65,0.5,258.29
0.65,0.5,258.24
0.65,0.5,258.2
0.65,0.5,258.15
0.65,0.5,258.1
0.65,0.5,258.04
0.55,0.5,257.99
0.55,0.5,257.95
0.55,0.5,257.9
0.55,0.5,257.85
0.55,0.5,257.79
0.55,0.5,257.74
0.55,0.5,257.7
0.55,0.5,257.65
0.55,0.5,257.6
0.55,0.5,257.54
0.55,0.5,257.49
0.55,0.5,257.45
0.55,0.5,257.4
0.55,0.5,257.35
0.55,0.5,257.29
0.55,0.5,257.24
0.55,0.5,257.2
0.55,0.5,257.15
0.55,0.5,257.1
0.55,0.5,257.04
0.55,0.5,256.99
0.55,0.5,256.95
0.55,0.5,256.9
0.55,0.5,256.85
0.55,0.5,256.79
0.55,0.5,256.74
0.55,0.5,256.7
0.55,0.5,256.65
0.55,0.5,256.6
0.55,0.5,256.54
0.55,0.5,256.49
0.55,0.5,256.45
0.55,0.5,256.4
0.55,0.5,256.35
0.55,0.5,256.29
0.55,0.5,256.24
0.55,0.5,256.2
0.55,0.5,256.15
0.55,0.5,256.1
0.55,0.5,256.04
0.55,0.5,255.87
0.55,0.5,255.32
0.55,0.5,254.27
0.55,0.5,252.72
0.55,0.5,250.67
0.55,0.5,248.12
0.55,0.5,245.07
0.55,0.5,241.52
0.65,0.5,257.99
0.65,0.5,257.95
0.65,0.5,257.9
0.65,0.5,257.85
0.65,0.5,257.79
0.65,0.5,257.74
0.65,0.5,257.7
0.65,0.5,257.65
0.65,0.5,257.6
0.65,0.5,257.54
0.65,0.5,257.49
0.65,0.5,257.45
0.65,0.5,257.4
0.65,0.5,257.35
0.65,0.5,257.29
0.65,0.5,257.24
0.65,0.5,257.2
0.65,0.5,257.15
0.65,0.5,257.1
0.65,0.5,257.04
0.65,0.5,256.99
0.65,0.5,256.95
0.65,0.5,256.9
0.65,0.5,256.85
0.65,0.5,256.79
0.65,0.5,256.74
0.65,0.5,256.7
0.65,0.5,256.65
0.65,0.5,256.6
0.65,0.5,256.54
0.65,0.5,256.49
0.65,0.5,256.45
0.65,0.5,256.4
0.65,0.5,256.35
0.65,0.5,256.29
0.65,0.5,256.24
0.65,0.5,256.2
0.65,0.5,256.15
0.65,0.5,256.1
0.65,0.5,256.04
0.65,0.5,255.87
0.65,0.5,255.32
0.65,0.5,254.27
0.65,0.5,252.72
0.65,0.5,250.67
0.65,0.5,248.12
0.65,0.5,245.07
0.65,0.5,241.52
0.75,0.5,258.49
0.75,0.5,258.45
0.75,0.5,258.4
0.75,0.5,258.35
0.75,0.5,258.29
0.75,0.5,258.24
0.75,0.5,258.2
0.75,0.5,258.15
0.75,0.5,258.1
0.75,0.5,258.04
0.85,0.5,258.49
0.85,0.5,258.45
0.85,0.5,258.4
0.85,0.5,258.35
0.85,0.5,258.29
0.85,0.5,258.24
0.85,0.5,258.2
0.85,0.5,258.15
0.85,0.5,258.1
0.85,0.5,258.04
0.75,0.5,257.99
0.75,0.5,257.95
0.75,0.5,257.9
0.75,0.5,257.85
0.75,0.5,257.79
0.75,0.5,257.74
0.75,0.5,257.7
0.75,0.5,257.65
0.75,0.5,257.6
0.75,0.5,257.54
0.75,0.5,257.49
0.75,0.5,257.45
0.75,0.5,257.4
0.75,0.5,257.35
0.75,0.5,257.29
0.75,0.5,257.24
0.75,0.5,257.2
0.75,0.5,257.15
0.75,0.5,257.1
0.75,0.5,257.04
0.75,0.5,256.99
0.75,0.5,256.95
0.75,0.5,256.9
0.75,0.5,256.85
0.75,0.5,256.79
0.75,0.5,256.74
0.75,0.5,256.7
0.75,0.5,256.65
0.75,0.5,256.6
0.75,0.5,256.54
0.75,0.5,256.49
0.75,0.5,256.45
0.75,0.5,256.4
0.75,0.5,256.35
0.75,0.5,256.29
0.75,0.5,256.24
0.75,0.5,256.2
0.75,0.5,256.15
0.75,0.5,256.1
0.75,0.5,256.04
0.75,0.5,255.87
0.75,0.5,255.32
0.75,0.5,254.27
0.75,0.5,252.72
0.75,0.5,250.67
0.75,0.5,248.12
0.75,0.5,245.07
0.75,0.5,241.52
0.85,0.5,257.99
0.85,0.5,257.95
0.85,0.5,257.9
0.85,0.5,257.85
0.85,0.5,257.79
0.85,0.5,257.74
0.85,0.5,257.7
0.85,0.5,257.65
0.85,0.5,257.6
0.85,0.5,257.54
0.85,0.5,257.49
0.85,0.5,257.45
0.85,0.5,257.4
0.85,0.5,257.35
0.85,0.5,257.29
0.85,0.5,257.24
0.85,0.5,257.2
0.85,0.5,257.15
0.85,0.5,257.1
0.85,0.5,257.04
